swing_id,golfer_id,skill_level,club_type,age_capability_factor,career_stage,circadian_factor,club_path_confidence,club_path_consistency,club_speed_at_impact,compensation_severity,course_type_encoded,dominant_hand_encoded,early_cast_flag,early_extension_flag,elevation_m,env_difficulty_index,experience_engrainment,fitness_capability,fitness_level,gender_encoded,green_speed_stimp,height_m,hour_of_day,humidity_pct,kinematic_sequence_confidence,kinematic_sequence_score,lag_angle_impact,lag_angle_mid_downswing,lag_confidence,links_course_flag,normalized_distance_factor,over_top_flag,physical_profile_score,release_efficiency,reverse_pivot_flag,seq_consistency,seq_trend,session_fatigue,speed_trend,speed_variance_recent,sway_flag,swing_dominant_frequency,swing_tempo_ratio,temperature_c,temperature_efficiency,tempo_confidence,tempo_sequence_alignment,time_to_peak_speed,weight_transfer_confidence,weight_transfer_timing_ms,weighted_quality_score,wind_crosswind_component,wind_direction_deg,wind_headwind_component,wind_speed_mph,xfactor_confidence,xfactor_degrees,xfactor_max_ts,xfactor_rate_of_change,xfactor_timing,years_experience,ball_speed_mph,carry_distance_yards,offline_yards,injury_risk_score,clubhead_speed_mph
1,1,elite,driver,1.0,2,0.95,0.93,0.944,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9107,30.25,77.31,0.92,1,1.446,0,1.0298,2.5557,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.6666666666666666,2.9311,34.3,0.7731,0.95,1.8652,0.0,0.9,-112.15,0.4553,-18.51,283.0,4.27,19.0,0.95,40.66,0.5689299999999999,0.01882,0.03393,23,88.55,150.84,3.77,0.0,107.35
2,1,elite,driver,1.0,2,0.95,0.93,0.9047,1.2494893993192635,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9253,26.55,78.75,0.92,1,1.446,0,1.0298,2.9661,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7058823529411764,2.8951,34.3,0.7731,0.95,1.9202,0.0,0.9,-149.58,0.4627,-18.51,283.0,4.27,19.0,0.95,46.05,0.56382,0.0245400000000002,0.0,23,93.72,157.52,4.1,0.0,112.84
3,1,elite,driver,1.0,2,0.95,0.93,0.9487,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.8763,27.61,76.55,0.92,1,1.446,0,1.0298,2.7725,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7692307692307692,2.2691,34.3,0.7731,0.95,1.6154,0.0,0.9,-133.34,0.4381,-18.51,283.0,4.27,19.0,0.95,50.82,0.5666600000000002,0.0204200000000001,0.0171,23,90.47,152.4,4.76,0.0,106.19
4,1,elite,driver,1.0,2,0.95,0.93,0.9284,0.474103956341031,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9203,25.13,81.93,0.92,1,1.446,0,1.0298,3.2602,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7317073170731707,2.5068,34.3,0.7731,0.95,2.2914,0.0,0.9,-133.64,0.4602,-18.51,283.0,4.27,19.0,0.95,46.04,0.56683,0.01882,0.03385,23,98.85,168.54,0.74,0.0,111.33
5,1,elite,driver,1.0,2,0.95,0.93,0.9598,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.899,33.06,81.94,0.92,1,1.446,0,1.0298,2.4785,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7058823529411764,2.9565,34.3,0.7731,0.95,1.8248,0.0,0.9,-56.18,0.4495,-18.51,283.0,4.27,19.0,0.95,52.55,0.56491,0.0220399999999998,0.03404,23,96.29,160.57,4.17,0.0,114.64
6,1,elite,driver,1.0,2,0.95,0.93,0.964,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.8615,28.3,81.85,0.92,1,1.446,0,1.0298,2.8922,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7407407407407407,2.5397,34.3,0.7731,0.95,2.1044,0.0,0.9,-122.42,0.4308,-18.51,283.0,4.27,19.0,0.95,49.41,0.5646899999999999,0.0210099999999999,0.0,23,90.07,147.79,4.37,0.0,107.07
7,1,elite,driver,1.0,2,0.95,0.93,0.9823,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9516,30.4,88.05,0.92,1,1.446,0,1.0298,2.8964,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.7058823529411764,2.2574,34.3,0.7731,0.95,1.7287,0.0,0.9,-113.27,0.4758,-18.51,283.0,4.27,19.0,0.95,51.59,0.56705,0.0173499999999999,0.0,23,95.33,156.52,7.18,0.0,110.43
8,1,elite,driver,1.0,2,0.95,0.93,0.9441,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9368,32.43,77.93,0.92,1,1.446,0,1.0298,2.403,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.6896551724137931,2.646,34.3,0.7731,0.95,2.163,0.0,0.9,-144.02,0.4684,-18.51,283.0,4.27,19.0,0.95,45.34,0.5673499999999998,0.0202899999999996,0.01698,23,91.57,155.16,0.5,0.0,106.53
9,1,elite,driver,1.0,2,0.95,0.93,0.9624,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.851,23.44,82.25,0.92,1,1.446,0,1.0298,3.509,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.6896551724137931,2.6804,34.3,0.7731,0.95,1.9324,0.0,0.9,-101.16,0.4255,-18.51,283.0,4.27,19.0,0.95,46.38,0.56382,0.0175099999999999,0.0,23,94.34,159.14,4.16,0.0,113.72
10,1,elite,driver,1.0,2,0.95,0.93,0.9678,5.484157218967921,0.0,1,1,0,0,248.3,0.47,1.0,1.02,7,1,11.03,1.91,16.2,37.7,0.95,0.9336,32.65,87.29,0.92,1,1.446,0,1.0298,2.6735,0,0.9531199402730756,0.0043599999999999,-0.3439999999999799,1.5449999999999824,10.401600000000034,0,0.6976744186046512,2.7676,34.3,0.7731,0.95,2.0384,0.0,0.9,-57.9,0.4668,-18.51,283.0,4.27,19.0,0.95,48.3,0.5657399999999999,0.0193,0.05078,23,98.29,163.18,7.56,0.0,119.15
