swing_id,golfer_id,skill_level,age,years_experience,gender,height_m,fitness_level,dominant_hand,temperature_c,wind_speed_mph,wind_direction_deg,humidity_pct,elevation_m,hour_of_day,course_type,green_speed_stimp,club_type,kinematic_sequence_score,kinematic_sequence_confidence,lag_angle_mid_downswing,lag_angle_impact,lag_confidence,xfactor_degrees,xfactor_confidence,weight_transfer_timing_ms,weight_transfer_confidence,club_path_consistency,club_path_confidence,swing_tempo_ratio,tempo_confidence,early_cast_flag,reverse_pivot_flag,sway_flag,early_extension_flag,over_top_flag,clubhead_speed_mph,ball_speed_mph,carry_distance_yards,offline_yards,injury_risk_score,compensation_count,compensation_severity
1,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9107,0.95,77.31,30.25,0.92,40.66,0.95,-112.15,0.9,0.944,0.93,2.9311,0.95,0,0,0,0,0,107.35,88.55,150.84,3.77,0.0,0,0.0
2,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9253,0.95,78.75,26.55,0.92,46.05,0.95,-149.58,0.9,0.9047,0.93,2.8951,0.95,0,0,0,0,0,112.84,93.72,157.52,4.1,0.0,0,0.0
3,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.8763,0.95,76.55,27.61,0.92,50.82,0.95,-133.34,0.9,0.9487,0.93,2.2691,0.95,0,0,0,0,0,106.19,90.47,152.4,4.76,0.0,0,0.0
4,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9203,0.95,81.93,25.13,0.92,46.04,0.95,-133.64,0.9,0.9284,0.93,2.5068,0.95,0,0,0,0,0,111.33,98.85,168.54,0.74,0.0,0,0.0
5,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.899,0.95,81.94,33.06,0.92,52.55,0.95,-56.18,0.9,0.9598,0.93,2.9565,0.95,0,0,0,0,0,114.64,96.29,160.57,4.17,0.0,0,0.0
6,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.8615,0.95,81.85,28.3,0.92,49.41,0.95,-122.42,0.9,0.964,0.93,2.5397,0.95,0,0,0,0,0,107.07,90.07,147.79,4.37,0.0,0,0.0
7,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9516,0.95,88.05,30.4,0.92,51.59,0.95,-113.27,0.9,0.9823,0.93,2.2574,0.95,0,0,0,0,0,110.43,95.33,156.52,7.18,0.0,0,0.0
8,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9368,0.95,77.93,32.43,0.92,45.34,0.95,-144.02,0.9,0.9441,0.93,2.646,0.95,0,0,0,0,0,106.53,91.57,155.16,0.5,0.0,0,0.0
9,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.851,0.95,82.25,23.44,0.92,46.38,0.95,-101.16,0.9,0.9624,0.93,2.6804,0.95,0,0,0,0,0,113.72,94.34,159.14,4.16,0.0,0,0.0
10,1,elite,23,23,M,1.91,7,right,34.3,19.0,283.0,37.7,248.3,16.2,links,11.03,driver,0.9336,0.95,87.29,32.65,0.92,48.3,0.95,-57.9,0.9,0.9678,0.93,2.7676,0.95,0,0,0,0,0,119.15,98.29,163.18,7.56,0.0,0,0.0
